Country of asylum,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,131,54,61,85,24,9,19,10,17,37,57,17,32,32,134,55,151,163,33,5,84,9
Albania,155,99,24,5,20,13,29,10,,5,13,10,223,421,590,2176,299,4352,64,12,15,29
Algeria,25,5,,30,349,730,764,70,926,548,1032,1535,2542,4525,2802,2003,2386,3558,2729,1359,1359,3518
Angola,161,82,166,128,70,1016,1471,435,2069,144,542,,1201,12266,93,,,,47,20,6,
Antigua and Barbuda,,,,,,,,,,,,,,,15,,,,,,,
Argentina,492,281,229,301,395,341,535,844,765,776,848,1440,604,817,1245,1881,2483,3578,3841,1701,2361,1002
Armenia,10,10,70,185,154,617,299,207,68,61,77,596,320,236,317,137,145,243,255,196,297,965
Aruba,,,,,,,,,,,,5,,,,5,144,388,,,,
Australia,18067,11349,7935,6093,6315,6546,6231,7265,8399,10889,15387,20046,15936,15142,16157,33470,49872,42725,42251,33377,28326,30918
Austria,30110,39343,32338,24620,22438,13331,11898,12826,15810,11003,14392,17393,17484,28050,89875,39884,22451,13736,12853,14741,39905,109773
Azerbaijan,3539,1829,873,1270,1354,727,564,399,372,317,148,280,442,783,555,413,296,724,713,583,213,297
Bahamas,,131,,,,,,,,,10,48,95,5,,5,6,12,,6,,31
Bahrain,10,,,5,9,,18,64,77,135,137,37,43,56,69,43,,16,,,5,
Bangladesh,25,38,49,16,50,36,55,104,49,16,5,6,22,5,,5,117,32,6,13,31,10
Barbados,,,,,,,,,,,,,,,,,5,5,5,,,
Belarus,222,151,130,155,209,85,38,99,179,258,133,119,251,909,1269,792,785,901,688,599,505,2586
Belgium,25998,22297,21157,20356,22823,16969,15489,17077,22271,33119,41129,38533,29293,28800,49194,23495,18930,22550,12879,16881,24470,43712
Belize,34,13,5,31,5,,,10,25,21,28,53,53,73,633,2016,458,381,530,117,38,148
Benin,1049,721,1193,724,779,1137,466,736,422,114,453,192,138,227,231,332,285,221,138,97,287,1156
Bolivia (Plurinational State of),14,22,5,24,19,55,182,41,41,49,29,36,16,32,28,12,,,901,901,46,36
Bosnia and Herzegovina,728,566,734,195,155,56,565,86,45,39,38,45,87,35,36,75,363,1588,797,258,202,168
Botswana,734,488,101,24,,59,60,848,135,74,217,97,97,73,471,178,53,298,21,334,281,127
Brazil,505,867,415,365,554,833,572,572,358,1076,4954,1100,4705,8910,14751,10265,33770,79974,82464,22146,7754,50332
Bulgaria,2414,2880,1529,1117,812,626,963,738,844,994,883,1353,7124,11331,20361,19315,3683,2530,2134,3519,10987,20389
Burkina Faso,78,123,155,93,206,410,77,76,36,38,173,13,122,187,62,82,77,38,28,27,9420,2828
Burundi,2061,794,1813,2187,10036,11498,1634,3613,3949,10773,3633,8298,10203,7634,3972,7190,7077,14363,12883,5597,210,3030
Cambodia,1073,180,81,894,622,460,573,510,99,67,14,,5,43,6,208,7,,27,,,
Cameroon,1711,2897,1356,2053,3142,3815,2833,4044,2903,3593,3208,3513,6186,9909,6012,3843,4495,5248,3989,1615,3720,3681
Canada,44028,39488,31925,25737,20765,22858,27873,34792,33952,22523,24968,20229,10329,13654,19494,23619,52732,62617,70140,25974,35839,108408
Cayman Islands,,,,,,,,,,,,,35,,72,177,34,14,23,20,13,219
Central African Rep.,1932,1729,463,385,298,462,440,868,168,,1292,156,31,13,19,95,294,154,221,5,614,728
Chad,453,88,324,,151,95,67,109,139,88,5903,3977,299,2377,2611,169,377,3290,1161,1002,313,948
Chile,81,42,83,189,372,575,748,870,,254,296,169,244,279,617,2282,5638,5776,770,1675,2498,5057
China,,31,50,153,151,88,130,28,67,159,43,306,254,457,523,538,678,486,462,427,422,355
"China, Hong Kong SAR",627,281,374,786,1024,3014,2247,1251,1249,714,1042,1200,1781,700,72,10,10,,10,,,
"China, Macao SAR",,,,,,,,,,15,10,,,,,,,,,,,
Colombia,10,5,19,37,92,82,119,93,371,158,94,103,254,731,430,404,619,2676,10621,11920,15939,5530
Comoros,,,,,,,,,,,,,,,,,,,,14,35,30
Congo,3362,561,534,321,618,1109,784,1986,1861,1084,640,451,326,730,3148,2365,2000,3079,8978,293,298,4810
Costa Rica,5214,3785,1745,1442,,775,874,944,1176,981,947,1157,1122,1825,2710,5874,7122,28996,60100,22307,109686,131075
Cote d'Ivoire,8366,338,373,1156,631,295,173,98,195,234,641,66,132,283,116,64,200,228,162,138,2175,1351
Croatia,211,170,126,210,194,98,215,171,187,335,830,1208,1143,546,280,2058,1965,917,1275,1678,2539,2694
Cuba,90,26,23,13,35,23,20,,5,20,,63,22,23,123,85,35,41,47,,7,
Curacao,,,,,,,,,,7,7,30,22,36,19,43,713,19,50,5,,
Cyprus,1756,1321,5048,10806,10201,7164,8916,6903,6914,6432,4162,2873,2697,2390,2782,3760,5738,8975,14072,8090,22791,30944
Czechia,21079,10768,11402,5469,4160,5129,3337,2717,1786,1373,741,743,684,1119,1509,1460,1426,2920,2800,1897,1943,1909
Dem. Rep. of the Congo,641,702,627,249,194,79,34,20,633,279,220,888,1293,132,208,443,163,5109,8612,40,45885,4140
Denmark,8331,6057,4567,3231,2237,1899,1849,2339,4534,4962,3807,7499,9506,16528,22677,8869,7716,4361,3568,2034,2591,4871
Djibouti,120,,3060,,17,9,468,191,765,105,1381,1291,780,170,6560,5421,1299,2174,840,301,1575,1985
Dominican Rep.,,,,,,,,,,5,30,11,71,23,32,51,58,22,233,103,22,1943
Ecuador,3442,6745,11454,7847,7076,7777,15019,17594,35493,31339,14141,12061,8262,,,5080,6796,17024,20850,6244,8518,1131
Egypt,13165,8982,6659,10690,3469,7122,4234,2528,2784,2997,5486,6639,10750,11437,23112,30732,30386,26022,25359,10261,13950,34644
El Salvador,25,5,16,,,12,7,,95,47,12,,5,15,24,5,5,30,27,32,81,76
Eritrea,,12,201,254,1303,469,102,77,,5,5,10,,,,7,,,,,,
Estonia,10,5,15,12,10,5,17,10,25,24,67,78,94,129,199,60,75,75,96,40,67,2928
Eswatini,138,5,,,,,39,190,164,,,98,114,123,121,145,219,261,274,147,262,522
Ethiopia,5,7210,1611,2282,3200,2810,19834,23712,22203,4441,833,1214,431,3037,939,440,916,374,443,295,475,192
Fiji,,,,,,,,5,10,,5,7,,11,,,10,10,,,,13
Finland,1641,3416,3213,3847,3547,2327,1417,4005,5906,3990,3070,2898,3201,3633,29405,5609,5035,4502,6390,3141,2496,5777
France,74800,84374,106183,117301,97790,69815,58191,64227,72724,80204,89309,97633,100767,101848,118425,125656,153959,182246,191825,142394,171323,192744
Gabon,604,3540,1658,117,226,449,298,292,84,24,104,28,74,172,69,62,29,131,27,,,21
Gambia,,,71,600,,41,,,68,5,105,,15,,,,10,344,,,,868
Georgia,,,,9,21,23,19,44,39,68,75,590,718,1871,1529,934,942,993,1223,844,719,1448
Germany,118297,91444,67815,50111,42891,30059,30279,27988,32994,48544,53296,77623,126992,202822,476630,745510,222660,319041,165868,122136,253688,322831
Ghana,2059,6343,8614,2104,14046,97,107,148,250,189,20119,105,1292,1032,1145,1164,312,528,493,787,753,1387
Greece,5480,5656,8163,4452,9043,12252,42174,33236,28013,11879,15275,17331,14364,17522,17158,58244,70327,82268,92673,53431,45781,54144
Grenada,,,,,,,,,,5,,,,,,,5,,,,,
Guatemala,60,43,10,11,21,26,48,15,36,15,17,15,44,108,153,143,140,257,491,480,1046,955
Guinea,1126,1847,4939,4247,2471,1226,727,334,295,632,361,139,69,254,46,120,142,1591,572,2801,160,
Guinea-Bissau,8132,31,88,73,184,384,132,95,9,40,55,5,17,15,15,,,10,10,,,
Guyana,,,,,,,,,,,,,,,,,5,17,57,26,48,40
Haiti,,,,,,,,,20,,,7,8,,10,5,,,5,,,
Honduras,32,75,73,95,103,14,29,42,39,64,10,10,57,11,16,9,13,107,106,74,105,151
Hungary,9533,6405,2378,1964,2176,2095,3405,3107,4662,2086,1678,2148,18875,42755,177304,29401,3380,658,483,107,30,30
Iceland,39,114,72,57,93,20,20,71,32,43,70,123,232,170,338,1089,1681,1256,1489,1018,1409,5093
India,912,1480,972,928,1098,1413,2914,3497,6742,4866,4763,3374,5983,7403,7203,8657,9571,8397,7593,2719,6162,7841
Indonesia,1291,672,221,129,59,405,274,377,3296,3890,4054,7214,8560,6119,4678,3355,2392,1573,1107,634,38,18
Iran (Islamic Rep. of),,37,30,63,247,1098,519,896,374,64,126,,56,,5,85,,,,,,
Iraq,581,745,,299,595,480,233,287,2729,841,1155,999,1199,2527,308,4349,2528,1531,1062,502,45,466
Ireland,14495,16905,13167,9780,8531,7456,6576,6735,5252,4797,3289,2198,2174,2658,4786,4491,3841,5590,6587,2685,3320,14686
Israel,437,334,,886,899,1321,5374,8353,798,1438,5726,1985,2602,226,7534,15044,15344,16260,9446,1886,1927,3916
Italy,9604,16013,13455,9710,9544,10333,14033,30303,17591,10050,40337,17325,26575,64598,83225,122950,126456,48441,34869,26561,53105,76910
Jamaica,,,,,,,,,,,,,,,,17,,13,5,,,
Japan,539,462,637,644,651,1345,1260,2099,2594,2090,3617,4316,5703,7527,10697,16098,28231,19514,15505,6509,6459,8233
Jordan,4604,2467,3727,6353,5757,4844,215,489,800,3474,4575,2472,6658,29068,19608,12143,10644,10447,1191,872,309,15
Kazakhstan,86,76,47,123,215,302,240,251,360,538,73,61,120,354,422,271,435,220,338,144,224,650
Kenya,12012,3656,4190,9314,39002,37489,19464,8814,16255,20107,15200,21238,21561,22783,15975,18244,19764,19481,12886,5543,11602,16504
Kuwait,281,123,12,11,57,409,420,2075,366,353,253,266,593,102,222,199,174,94,140,34,100,46
Kyrgyzstan,699,399,212,128,1228,514,771,869,350,569,239,179,332,283,226,191,128,92,169,316,631,435
Lao People's Dem. Rep.,,,,,,,,,,,,,,,,,,,10,,,
Latvia,9,30,5,5,18,5,21,37,44,47,330,182,174,357,319,342,346,169,184,145,589,541
Lebanon,2315,1612,671,556,1013,1935,833,391,651,2068,1675,2093,3233,15008,18181,4443,3228,2427,3610,2001,1141,2154
Lesotho,,,,,,,,,,,8,,,5,,19,38,22,121,174,67,160
Liberia,,9,,,22,52,52,,554,5,570,37,24,19,,9,15,11,15,10683,15,259
Libya,24,168,385,777,,1045,2613,5081,3038,1698,90,4458,5598,2919,98,1900,6589,16255,12143,8084,14257,20224
Liechtenstein,190,78,94,67,49,40,16,20,285,102,65,59,85,70,142,72,147,154,40,31,78,67
Lithuania,252,291,177,155,111,125,131,207,205,364,392,519,266,395,286,422,594,416,625,310,310,1037
Luxembourg,686,1023,1515,1565,774,1041,748,783,621,797,2323,2114,1597,1971,3056,2615,2435,2315,2195,1245,1360,2251
Madagascar,,,,,,,,,,,,,6,5,5,59,77,33,173,71,,24
Malawi,,7083,1261,2413,3710,4367,7005,1426,1419,5680,4495,3369,3845,3965,3880,17038,6933,5525,7605,3278,4559,4840
Malaysia,953,2118,18618,20657,15144,9080,13808,17028,40056,25973,16946,20169,54307,26605,22644,20416,26186,29386,27627,6432,17796,5814
Mali,126,131,500,1243,972,150,110,57,19,41,875,39,111,1251,394,212,949,9938,273,41,92,182
Malta,114,558,722,993,1159,1259,1663,3503,3208,292,2525,2204,2193,1741,1971,1945,1980,2920,3961,2395,1848,995
Mauritania,45,54,127,126,279,309,574,312,398,274,368,598,660,604,945,659,613,1028,1873,2493,5166,5939
Mauritius,,,,,,,,,,,,,,,,5,,11,15,,,
Mexico,404,238,261,397,664,453,360,298,661,1018,734,803,1275,1511,3408,8762,14583,29609,70363,41204,131418,118735
Micronesia (Federated States of),,,,,,,,,,,,,,,55,,,,,,,
Mongolia,,,,,,10,5,5,5,,5,7,10,6,5,5,5,,21,,,
Montenegro,,,,,,15,,5,15,10,226,1516,3560,2307,1591,331,840,3091,1912,538,270,163
Morocco,252,98,56,,1895,944,1600,1106,789,1235,1088,2442,3213,1364,1645,2492,3454,4078,5624,4926,5289,4849
Mozambique,3047,1664,2396,,856,958,879,1751,1490,2879,3901,2926,2540,3286,4318,2096,4647,2509,797,1457,1941,1670
Namibia,721,,1335,343,231,236,417,288,331,323,257,205,308,197,477,563,604,803,1156,576,834,579
Nauru,,,,,,,,,,,,414,187,955,7,,,,,,,17
Nepal,39,20,26,629,927,560,1628,114,59,48,37,865,341,235,173,130,140,80,59,25,9,
Netherlands (Kingdom of the),32546,18656,13397,9751,12325,14449,7085,13396,14895,15108,14597,13078,17135,24494,45069,21290,18213,24025,25161,15225,26507,36986
New Zealand,1593,2074,1323,996,633,470,375,338,481,445,437,464,459,440,463,544,595,657,721,587,569,474
Nicaragua,10,15,7,22,11,36,53,70,269,114,36,62,103,129,130,202,108,,,,,
Niger,85,60,44,55,19,18,9,19,15,11,177,6,20,90,31,16,310,5788,43589,1557,13966,31855
Nigeria,575,706,3081,212,1218,490,302,694,289,896,197,209,646,505,505,206,8792,547,19683,2336,1188,606
North Macedonia,195,116,2283,102,71,56,32,50,80,166,734,642,1343,1274,1898,761,152,292,450,151,91,162
Norway,14757,17449,15951,7916,5378,10367,11209,20460,27950,22809,18189,18281,20577,19619,36606,11879,7889,4679,3607,2419,2446,5026
Oman,21,,,7,,,34,12,28,53,37,31,64,161,67,266,33,11,,,,
Pakistan,1029,1038,5772,3168,1752,2014,2179,1445,1304,943,977,3933,5178,7928,8858,6307,2602,1939,3606,1300,3666,28485
Palau,,,,,,,,,12,,,,,,,,5,,,,,
Panama,79,123,18,354,433,353,360,203,417,589,1396,747,816,1183,1825,3477,5577,10768,9728,648,328,694
Papua New Guinea,,312,10,5,,,10,,6,,,161,250,827,21,,,,,,27,3330
Paraguay,15,,6,9,13,12,33,13,16,7,12,10,,31,60,54,62,334,1072,1439,2207,1299
Peru,61,87,138,141,213,290,263,198,169,285,463,361,428,373,406,4343,34142,192484,259834,52529,1516,1428
Philippines,20,86,10,15,10,10,12,52,5,28,15,35,69,76,160,105,191,220,216,199,206,285
Poland,6793,7409,8009,8742,8236,11306,13239,7712,10577,6506,6858,12222,14957,7342,12210,11002,5603,4311,4198,3446,8792,9403
Portugal,226,231,71,100,87,112,212,140,127,130,264,284,484,428,877,1462,1730,1635,1823,988,1533,1976
Qatar,74,26,27,,5,5,8,19,11,36,64,20,17,87,29,88,,7,22,,5,
Rep. of Korea,37,27,73,132,393,273,712,360,310,442,1128,1350,1724,3280,5692,7520,9924,16125,15429,6666,2328,15285
Rep. of Moldova,244,101,83,107,103,50,61,49,85,117,64,177,163,230,297,145,96,131,170,110,80,9136
Romania,2422,1132,1056,644,577,436,642,1162,826,866,2058,2484,1736,1629,1336,1964,4924,2315,2756,6240,9773,12524
Russian Federation,1683,870,747,907,952,1163,3367,5419,5702,3860,2270,2299,4687,274716,152464,26361,14063,7832,8091,6981,4824,102956
Rwanda,4827,784,1698,1000,3638,19,67,10,82,5,7,17085,13006,41,238,50,10,216,381,204,408,762
Saint Kitts and Nevis,,,,,,,,,,,,,,,,5,5,,,,,
Saint Lucia,,,,,,,,,5,5,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,5,,,,,,,
Saudi Arabia,307,203,123,235,332,108,61,89,69,25,18,16,23,10,10,35,43,2266,268,1037,47,7
Senegal,950,485,517,450,488,257,200,251,205,186,202,168,233,523,340,308,284,228,260,125,207,9
Serbia and Kosovo: S/RES/1244 (1999),140,154,136,49,83,15,35,73,290,784,3309,2765,5121,16577,636,876,379,909,2318,1539,750,900
Sierra Leone,,17,,,45,243,,432,60,,22,10,8,,,,,,,,,
Singapore,34,10,,10,8,16,41,20,,,,5,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,5,,10,,,5,,,,5,8,,
Slovakia,8149,9692,10350,11385,3525,2853,2621,891,806,532,476,717,415,322,312,115,164,171,244,268,396,529
Slovenia,1507,690,1084,1265,1821,503,425,238,175,239,366,294,252,373,270,1298,1468,2866,3869,3561,5279,6720
Solomon Islands,,,,,,,,,,,,5,,,,,,5,,,,
Somalia,185,240,320,175,254,1319,6520,2156,15572,245,25,3436,2889,593,1261,3158,2871,2138,2005,1892,3174,2932
South Africa,4287,55428,35919,32565,28517,53345,45638,207202,222326,180617,106881,117157,79288,86195,120479,35349,24162,16125,48366,3074,,
South Sudan,,,,,,,,,,,232,33,34,119,791,1055,1020,701,1385,270,836,637
Spain,9477,6292,5924,5531,5241,5279,7634,4505,2999,2737,3399,2565,4512,5934,14868,16528,31713,55650,118257,88746,65384,118810
Sri Lanka,27,,15,130,149,167,212,422,141,98,161,199,1598,607,710,360,446,447,301,86,68,210
Sudan,11,27023,2691,11960,6445,10213,16575,35102,10699,12421,10572,15110,11222,9974,7111,8540,7467,1904,7087,9267,12502,10016
Suriname,,,,,,,,,,,,,,,,40,98,196,1220,759,520,412
Sweden,23498,32996,31343,23157,17533,24294,36351,40461,37857,45091,43737,43863,68814,95535,173786,53647,56837,44578,36024,26687,19998,23424
Switzerland,31935,39620,38948,27614,18825,17323,14349,16578,15980,15533,19423,32330,28010,23734,39476,27155,18040,15226,14215,11004,14885,24481
Syrian Arab Rep.,1763,1774,1659,5275,922,2829,2221,969,2384,3289,3079,2021,1907,2392,5148,10613,10172,4708,1569,168,57,638
Tajikistan,725,158,243,,244,449,745,1371,2579,837,790,832,584,608,600,273,135,521,3235,1090,6372,334
Thailand,1453,3034,4005,2463,47686,4689,1440,1202,6841,1663,12927,3068,3861,6050,2601,2600,3227,1524,962,569,591,697
Timor-Leste,6,32,14,,,,,12,,,,,,,,,,,,,,
Togo,53,88,332,222,105,108,94,192,130,38,5287,6064,256,603,241,203,159,109,117,289,257,181
Trinidad and Tobago,,,,,,,5,61,150,10,12,5,38,174,123,161,1996,8639,9192,3560,2228,3164
Tunisia,22,27,65,73,110,70,97,59,47,48,4501,495,350,430,152,45,57,307,1512,2637,3539,920
Turkmenistan,657,73,41,31,33,14,16,,,,6,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,21,7,,,,,,,16,,
TÃ¼rkiye,5034,3783,3949,3904,3916,5082,8342,13789,8908,11544,17820,27262,46594,88885,134789,79633,126910,84192,56417,31334,29256,33246
Uganda,1723,2218,2698,3818,,9300,4531,13552,20436,15486,12702,14429,18802,32404,35916,30276,71955,20057,33362,23775,42361,26438
Ukraine,905,457,2276,2582,2399,2987,2734,2945,2235,2666,2197,3255,1709,1651,2359,1424,1163,1312,1587,983,1368,356
United Arab Emirates,69,128,89,54,51,105,136,122,204,437,214,246,260,257,585,516,1678,7473,1643,98,103,44
United Kingdom of Great Britain and Northern Ireland,147425,138905,108336,77098,57984,46022,45311,44401,46015,40498,36796,37005,39291,40250,53289,51232,45016,49137,54072,41034,60950,94729
United Rep. of Tanzania,43,42,176,7,144,1030,949,,881,437,428,201,448,1025,1706,6666,36502,1782,10,756,676,978
United States of America,119955,132639,109009,44970,39208,41072,40417,39328,38059,42956,60563,66074,68245,96150,135976,204801,265177,260691,315897,238320,210488,752693
Uruguay,10,7,10,5,22,23,26,7,34,16,14,37,23,52,74,383,2395,6758,12221,2932,3455,8307
Uzbekistan,2129,521,420,197,212,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,5,,,,,,,,,,,,,5,
Venezuela (Bolivarian Republic of),205,705,1352,2258,1653,2223,2357,2955,2865,3443,3165,2002,3497,2479,1486,2886,105,959,698,627,287,548
Viet Nam,,,,,,,,,,,,,,,,,,,5,,,5
Yemen,2319,2312,1232,1558,1937,1608,2969,2235,2485,3738,5356,3390,6256,3939,2696,4314,1223,1811,2472,755,2266,3356
Zambia,842,644,322,363,163,103,162,220,311,789,943,688,2611,1256,2960,3949,18189,11305,7861,7657,8402,10555
Zimbabwe,5292,532,3335,960,1671,3260,4312,898,771,982,1045,1091,523,1388,1012,1506,1169,2793,1843,832,113,250
